,Team ID,Nickname,Year Founded,Team New ID,Team ID_drop,Team Name,Abbreviation,Nickname_drop,Team City,Team State,Year Founded_drop,Team ID_drop,Abbreviation_drop,Nickname_drop,Year Founded_drop,Team City_drop,Arena,Area Capacity,Owner,General Manager,Head Coach,Development League Affliation,Facebook,Instagram,Twitter,Team ID_drop,Team City_drop,Nickname_drop,Year Founded_drop,Team Active Until
0,1610612737,Hawks,1949,4e91a2e0064de13f02a8e5bd31c463ef,1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,1949.0,1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,18729.0,Tony Ressler,Travis Schlenk,Nate McMillan,Erie Bayhawks,https://www.facebook.com/hawks,https://instagram.com/atlhawks,https://twitter.com/ATLHawks,,,,,
1,1610612738,Celtics,1946,cee080874ccad94533aa9e299ed61adc,1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946.0,1610612738,BOS,Celtics,1946,Boston,TD Garden,18624.0,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws,https://www.facebook.com/bostonceltics,https://instagram.com/celtics,https://twitter.com/celtics,1610612738,Boston,Celtics,1946,2019
2,1610612739,Cavaliers,1970,d1c9f9cae7854800d5acaa35c8b2701d,1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970.0,1610612739,CLE,Cavaliers,1970,Cleveland,Rocket Mortgage FieldHouse,20562.0,Dan Gilbert,Koby Altman,JB Bickerstaff,Canton Charge,https://www.facebook.com/Cavs,https://instagram.com/cavs,https://twitter.com/cavs,1610612739,Cleveland,Cavaliers,1970,2019
3,1610612740,Pelicans,2002,bd2d27871eb860ec86046cab6d73be68,1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002.0,1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,,Tom Benson,Trajan Langdon,Stan Van Gundy,No Affiliate,https://www.facebook.com/PelicansNBA,https://instagram.com/pelicansnba,https://twitter.com/PelicansNBA,,,,,
4,1610612741,Bulls,1966,7462d53f5f02de769ec581ee2ef89bec,1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966.0,1610612741,CHI,Bulls,1966,Chicago,United Center,21711.0,Jerry Reinsdorf,Arturas Karnisovas,Billy Donovan,Windy City Bulls,https://www.facebook.com/chicagobulls,https://instagram.com/chicagobulls,https://twitter.com/chicagobulls,1610612741,Chicago,Bulls,1966,2019
5,1610612742,Mavericks,1980,94c3c8ecea81c93b36a48f4c6f50d633,1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980.0,1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends,https://www.facebook.com/dallasmavs,https://instagram.com/dallasmavs,https://twitter.com/dallasmavs,1610612742,Dallas,Mavericks,1980,2019
6,1610612743,Nuggets,1976,727bec13ef9d5024fddf3cc40fac54d2,1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976.0,1610612743,DEN,Nuggets,1976,Denver,Ball Arena,,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate,https://www.facebook.com/DenverNuggets,https://instagram.com/nuggets,https://twitter.com/nuggets,1610612743,Denver,Nuggets,1976,2019
7,1610612744,Warriors,1946,c68f090354dec4f30561f2d4b1594b0f,1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1946.0,1610612744,GSW,Warriors,1946,Golden State,Chase Center,,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors,https://www.facebook.com/warriors,https://instagram.com/warriors,https://twitter.com/warriors,1610612744,Philadelphia,Warriors,1946,1961
8,1610612745,Rockets,1967,d204455f109a77e8a3626c7f02729a72,1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967.0,1610612745,HOU,Rockets,1967,Houston,Toyota Center,18104.0,Tilman Fertitta,Rafael Stone,Stephen Silas,Rio Grande Valley Vipers,https://www.facebook.com/houstonrockets,https://instagram.com/houstonrockets,https://twitter.com/HoustonRockets,1610612745,San Diego,Rockets,1967,1970
9,1610612746,Clippers,1970,a2c509a1a0d6bf2157c98c353ff42ab4,1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970.0,1610612746,LAC,Clippers,1970,Los Angeles,STAPLES Center,19060.0,Steve Ballmer,Michael Winger,Tyronn Lue,Agua Caliente Clippers of Ontario,https://www.facebook.com/LAClippers,https://instagram.com/laclippers,https://twitter.com/LAClippers,,,,,
